Year,Loudness,Tempo,Duration,Hotness,famil,Songs
1978,-10.38325,111.18799999999999,299.76771,0.39692265713018005,0.6823029934016344,4
1979,-14.107666666666667,151.21866666666668,252.08553333333336,0.354703550320266,0.6514463100544055,6
1980,-11.186399999999999,125.2058,215.08134200000003,0.3208055993933255,0.7385402904932157,5
1981,-7.7701111111111105,144.76655555555556,188.83582777777778,0.31112397346029863,0.7299996517872143,9
1982,-14.08025,127.81725,449.81506,0.2982786835103921,0.6809799766936904,4
1983,-11.116000000000001,121.71641666666666,205.60498916666666,0.2809354122395018,0.6652015548177378,12
1984,-9.584714285714284,140.70985714285715,272.75150142857143,0.14534884858802116,0.6625078264100291,7
1985,-10.929999999999998,133.7128,216.16803599999997,0.1158077402319726,0.7446442899727012,5
1986,-9.642,107.09880000000001,271.95514,0.3368495690298515,0.6770939525989922,5
1987,-13.509363636363634,105.17009090909092,243.21854454545453,0.09201734175184448,0.637348034948752,11
1988,-11.373636363636363,132.33072727272727,212.53891545454545,0.18301416669671972,0.7028110629707134,11
1989,-12.706874999999998,127.2163125,236.85179249999996,0.2967798689093523,0.5913192380536249,16
1990,-12.497842105263157,125.18052631578946,215.59499210526317,0.3104581143835121,0.5872534144028395,19
1991,-13.921714285714286,115.37861904761905,191.1474557142857,0.3457514738418463,0.5984525132865348,21
1992,-11.103555555555554,126.70461111111109,241.84263222222222,0.24104848087204533,0.5948293919376544,18
1993,-12.306478260869564,131.43678260869567,241.43117086956522,0.09613629252076071,0.5330463039202038,23
1994,-12.395100000000003,138.98364999999998,255.65734200000003,0.31483610776897997,0.6301862068258186,20
1995,-11.003249999999998,121.02118750000001,241.81669062500004,0.22009768149735012,0.5627326308539863,32
1996,-10.451142857142857,128.85764285714282,230.31558142857142,0.32013637940559875,0.69239151143844,14
1997,-13.930190476190475,122.36104761904765,208.30990571428572,0.1892732244815437,0.5608255290441038,21
1998,-9.435333333333332,120.28748484848484,259.2221066666667,0.2870946883218605,0.5887234665258503,33
1999,-10.403950000000002,116.57790000000003,239.34517899999997,0.23388074384604826,0.643416132917909,20
2000,-13.713137931034487,136.0553448275862,220.42977896551722,0.23605488545831718,0.6091641016999314,29
2001,-10.297333333333334,123.62976666666667,219.99236333333334,0.25519393191739986,0.5614053284521844,30
2002,-10.507242424242424,122.86487878787877,217.60983666666664,0.30126858804705514,0.6213338568671984,33
2003,-8.780387755102037,130.67451020408163,222.70408653061227,0.34936672311053574,0.6571050727815025,49
2004,-9.050416666666667,119.70391666666667,225.8281172222222,0.3096999979427645,0.6092922549214463,36
2005,-11.35554716981132,125.20520754716982,240.56709358490568,0.27844328902984705,0.5710839802843084,53
2006,-8.936044444444443,118.65284444444448,246.83985488888882,0.22830839856168011,0.6156407233261032,45
2007,-8.38786956521739,122.55471739130435,258.81452456521737,0.2902381489554637,0.7118733405544597,46
2008,-10.286615384615384,119.91851282051284,258.59169717948714,0.3309415946813081,0.6618130561259494,39
2009,-10.404947368421052,122.48673684210524,251.93131947368425,0.3696283146368901,0.621384110471869,38
2010,-9.354857142857144,97.08571428571429,196.2127242857143,0.7016704491689577,0.6894786904175912,7
